ts	job	model	event	note
2026-07-10T14:46:55Z	out-C	glm-5.2	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-10T15:45:47Z	grader	deepseek-v4-pro	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-10T15:45:47Z	grader	glm-5.2 deepseek-v4-pro	ALL-EXHAUSTED	every model failed over; POOL TOO THIN -> consider adding providers
2026-07-10T16:51:34Z	grader-refire	glm-5.2	limit-failover	rc=124; all providers for this model exhausted at gateway
2026-07-10T17:49:08Z	decompose-review	glm-5.2	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-10T17:52:31Z	decompose-review	deepseek-v4-pro	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-10T17:52:31Z	decompose-review	glm-5.2 deepseek-v4-pro	ALL-EXHAUSTED	every model failed over; POOL TOO THIN -> consider adding providers
2026-07-12T06:29:05Z	CAPTURE-PIPELINE.log	deepseek-v4-pro	error-failover	rc=1; non-limit failure
2026-07-12T06:50:16Z	DRAIN-AND-PARK-FIX.log	deepseek-v4-pro	error-failover	rc=1; non-limit failure
2026-07-12T21:21:04Z	economy-4060859-B3-LOG-PRUNE	deepseek-v4-flash	error-failover	rc=1; non-limit failure
2026-07-12T21:21:10Z	strong-4060858-A1-LAND-GATE	deepseek-v4-flash	error-failover	rc=1; non-limit failure
2026-07-12T21:27:36Z	economy-4060859-B3-LOG-PRUNE	glm-5.2	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-12T21:27:36Z	economy-4060859-B3-LOG-PRUNE	deepseek-v4-flash glm-5.2	ALL-EXHAUSTED	every model failed over; POOL TOO THIN -> consider adding providers
2026-07-12T21:29:06Z	strong-4060858-A1-LAND-GATE	glm-5.2	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-12T21:30:12Z	economy-4060859-B3-LOG-PRUNE	deepseek-v4-flash	error-failover	rc=1; non-limit failure
2026-07-12T21:30:42Z	strong-4060858-A1-LAND-GATE	hy3-preview-or	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-12T21:30:42Z	strong-4060858-A1-LAND-GATE	deepseek-v4-flash glm-5.2 hy3-preview-or	ALL-EXHAUSTED	every model failed over; POOL TOO THIN -> consider adding providers
2026-07-12T21:32:16Z	economy-4060859-B3-LOG-PRUNE	glm-5.2	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-12T21:32:16Z	economy-4060859-B3-LOG-PRUNE	deepseek-v4-flash glm-5.2	ALL-EXHAUSTED	every model failed over; POOL TOO THIN -> consider adding providers
2026-07-12T21:34:18Z	strong-4060858-A1-LAND-GATE	deepseek-v4-flash	error-failover	rc=1; non-limit failure
2026-07-12T21:34:22Z	frontier-4055372-F29-CONFIG-PKG	deepseek-v4-pro	error-failover	rc=1; non-limit failure
2026-07-12T21:34:29Z	economy-4060859-B4-BRANCH-REAPER	deepseek-v4-flash	limit-failover	rc=1; all providers for this model exhausted at gateway
2026-07-12T21:39:36Z	strong-4060858-A1-LAND-GATE	glm-5.2	limit-failover	rc=0; all providers for this model exhausted at gateway
2026-07-12T23:59:08Z	strong-4162761-FAIL-LOUD-CONTRACT	deepseek-v4-flash	limit-failover	rc=0; all providers for this model exhausted at gateway
