# ON-DEMAND-TOOL-LEDGER.tsv — every tool classified by INVOCATION REALITY (evidence, not docstrings).
# Ticket: ON-DEMAND-TOOL-AUDIT (operator directive, cere-junda; applies [[dynamic-tools-never-on-demand]]).
# Generated: 2026-07-16. Method: enumerate TOOL-INVENTORY.md + fleet/*.sh + fleet/checks/*.sh + fleet/memory/* +
# fleet/capability/* + /home/stack/code/charon/tools/*.py + key src/charon modules (via fleet/state/WIRING-AUDIT-MATRIX.md);
# for each, grep callers across fleet/**, tools/gates.json, src/charon/gate_runner.py, .github/workflows, crontab,
# ~/.claude/settings.json + project .claude/settings.local.json SessionStart hooks; last/never-run from state artifacts,
# file mtimes, git history. EXTENDS fleet/state/TOOL-WIRING-AUDIT.md (2026-07-16T01:05Z) with the never/rarely-run dimension;
# supersedes its foreman finding (foreman IS now wired: preflight.sh:590 foreman_advisory, landed after that audit).
# Classification: MECHANIZED (cadence and/or >=1 real trigger) | ON-DEMAND-ONLY (works, no trigger, humans must remember) |
# NO-TRIGGER (built+tested, zero live callers) | NEVER-RUN (zero callers AND zero run evidence) | RARELY-RUN (one leg wired,
# key leg dark) | DEAD (retire). Rows ranked by priority (P0 first). "covered:" = existing ticket already owns the fix.
tool	invoked-how (evidence)	classification	dynamic-data?	fix	priority
tools/check_catalog_case_quant.py	NOT in tools/gates.json (18 gates, absent); NOT in gate_runner.py CHECKS (src/charon/gate_runner.py:9-27); NOT in CI workflows; only reachable via tests/test_normalize_model_id.py importing find_mismatches against a FIXTURE — never runs vs the live catalog	NO-TRIGGER	Y	covered: CATALOG-GATE-WIRE (board, UNCLAIMED — claim it): register in gates.json + gate_runner CHECKS so charon.cli gate + CI fire it per land	P0
fleet/checks/no-anthropic-in-sg.sh	ZERO callers (grep basename across fleet/**: none); its own header says "Wire into validate_board.sh / the gate" — never done; no test file either	NEVER-RUN	Y	triggers: validate_board.sh board_gate + preflight scan (routing tsv changes dirty it); add fail-on-revert test. NEEDS BOARDING (guards the "keeps sneaking back in" sg-never-anthropic rule)	P0
fleet/checks/base-integrity.sh	only fleet/tests/base-integrity.test.sh; zero launch-path callers (grep in claim.sh/fleet-droid.sh/preflight.sh/validate_board.sh/land.sh: 0) — the launch-time stale-base gate never gates a launch	NO-TRIGGER	Y	trigger: fleet-droid.sh pre-worktree + launch-plan.sh candidate gate (every launch = the cadence). Fold into LAUNCH-PLAN-SH (board, UNCLAIMED) or board BASE-INTEGRITY-WIRE	P0
fleet/dark-work-check.sh	ZERO callers (grep: none); --register/--pickup/--selftest legs exist and work (created 2026-07-14); no run artifacts anywhere in state/	ON-DEMAND-ONLY	Y	triggers: preflight scan (pickup leg — ticket's own accept said so) + SessionStart (register leg) + handoff.sh; cadence backstop. Board NO-DARK-WORK (ROADMAP.tsv:165 F47 still 'designed', no ticket file)	P0
graphify update (code-map refresh)	zero callers in fleet/*.sh + fleet/checks/*.sh (grep graphify: 0); graph.json refreshed only by hand (last manual run 2026-07-15 20:01); rig repo has NO graph	ON-DEMAND-ONLY	Y	cadence + post-land + SessionStart triggers + reuse-check entry point. covered: GRAPHIFY-MAP-FRESHNESS (CLAIMED, in flight)	P1
fleet/foreman.sh	ONE trigger only: preflight.sh:590-598 foreman_advisory on scan path (landed 07-15, post-dates TOOL-WIRING-AUDIT's P0 finding); no SessionStart/post-land/handoff trigger, no cadence backstop	RARELY-RUN	Y	SessionStart + post-land + handoff.sh triggers + cadence, report-only. covered: FOREMAN-MULTI-TRIGGER (CLAIMED, in flight)	P1
fleet/launch-plan.sh	only fleet/tests/launch-plan.test.sh (created 2026-07-14); zero live callers, zero run artifacts — pre-launch discipline still a manually-remembered rule (MANAGER-OPERATING-RULES §3)	NO-TRIGGER	Y	trigger: fleet-droid.sh pre-launch hard gate + manager wave-planning entry. covered: LAUNCH-PLAN-SH (board, UNCLAIMED — claim it)	P1
fleet/stale-check.sh	only referenced by fleet/tests/launch-plan.test.sh; zero live callers since creation 2026-07-14	NO-TRIGGER	Y	triggers: preflight + status.sh + in-wave cadence. covered: STALE-CHECK-SH (CLAIMED — in flight this session, ahsoka-tano); wire the preflight call once it lands	P1
fleet/checks/rule-sync.sh	only fleet/tests/rule-sync.test.sh; the register it enforces (state/RULE-SYNC-REGISTER.tsv, 74K) is LIVE (updated 07-15) but the gate never fires against it	NO-TRIGGER	Y	trigger: preflight scan + validate_board; weekly cadence backstop. NEEDS BOARDING (small wire)	P1
fleet/checks/config-ssot-gate.sh	only fleet/tests/config-ssot.test.sh; zero live callers	NO-TRIGGER	Y	covered: SSOT-DRIFT-GATE (CLAIMED)	P1
