# reds.tsv — append-only REDS REGISTRY (build-rig only). One row per known red.
# A red closes ONLY via a passing check_cmd or an explicit recorded override — never by assertion.
# TAB-separated. Columns:
# id	opened	severity	area	description	check_cmd	status	closed_by
#   check_cmd: EXITS 0 when the red is GONE (green), non-zero when STILL RED.
#              use literal "manual:<instruction>" for reds not auto-checkable from this box.
#   severity: P0|P1|P2   area: bridge|board|ci|gate|routing|billing|packaging|other
#   status: open|closed   closed_by: blank | YYYY-MM-DD:<evidence>
bridge-daemon-down	2026-07-05	P1	bridge	session-bridge MCP register fails 'daemon not running' on a stale socket though daemon.py PID exists	python3 /home/stack/charon-private/fleet/checks/bridge-health.py	closed	2026-07-05:auto-verified
board-validator-red	2026-07-05	P2	board	validate_board.sh reports ~19+ issues (WCI-FOLLOWON stale dep + orphan done-markers)	bash /home/stack/charon-private/fleet/validate_board.sh >/dev/null 2>&1	closed	2026-07-05:auto-verified
handoff-pipefail-mask	2026-07-05	P2	ci	handoff.sh runs gates under '| tail -3 || true', masking set -e on a red gate	! grep -Fq '| tail -3 || true' /home/stack/charon-private/fleet/handoff.sh	closed	2026-07-05:auto-verified
version-gate-false-positive	2026-07-05	P2	gate	check_version.py compares pyproject to INSTALLED editable metadata -> false VERSION DRIFT in fresh worktrees	git -C /home/stack/code/charon show origin/master:tools/check_version.py | grep -q _in_ci	closed	2026-07-05:auto-verified
failover-401-not-classified	2026-07-05	P1	routing	proxy.py does not flatten error.metadata.raw nor classify an unknown 401 'Model not supported' so failover never fires	git -C /home/stack/code/charon show origin/master:src/charon/proxy.py | grep -A22 'def _body_text_lower' | grep -q metadata	closed	2026-07-05:auto-verified
gpt55-pool-order	2026-07-05	P1	routing	live 4-LOM gpt-5.5 pool is [or,ng,gpt-5.5,go]; NanoGPT (ng) should be primary	bash /home/stack/charon-private/fleet/checks/gpt55-primary.sh	closed	2026-07-06:auto-verified
silent-downgrade-double-bill	2026-07-05	P0	billing	namespaced-id 200s (deepseek/fireworks) discarded+refetched -> double-bills; fix compares final id segment (rsplit)	git -C /home/stack/code/charon show origin/master:src/charon/proxy.py | grep -A12 'def _normalize_model_id' | grep -Fq rsplit	closed	2026-07-05:auto-verified
board-untracked-drift	2026-07-05	P2	board	board ticket files accrete untracked (~34 of 116 on disk) — board/ticket state not fully version-controlled or durable/syncable	test -z "$(git -C /home/stack/charon-private/fleet ls-files --others --exclude-standard board/)"	closed	2026-07-05:auto-verified
cooldown-anchor-demotion	2026-07-05	P2	routing	nanogpt (intended anchor) demoted behind exhausted openrouter ~57min after 1 failure — order_by_cooldown may rank the anchor below known-bad providers; review cooldown duration + skip-known-exhausted	manual: review order_by_cooldown vs known-exhausted providers in proxy/gateway	open	
stale-charon-token-env	2026-07-05	P2	other	shell profile sets a stale CHARON_GATEWAY_TOKEN pointing at a wrong/old gateway (10.0.3.91, not 10.0.1.60), shadowing the real token — local scripts using the env var can misroute	! grep -rqs 10.0.3.91 ~/.bashrc ~/.profile ~/.bash_profile ~/.zshrc	open	
auto-pool-broken	2026-07-06	P1	routing	default auto pool is 48x identical opencode-zen (no diversity=no failover) AND opencode-zen is dead (401 across the board, depleted) so the auto model is currently broken; diversify auto + demote/remove dead zen from pools	manual: curl the auto model, expect 200 from a live provider	open	
dead-free-go-entries	2026-07-06	P2	routing	5 dead *-free-go entries (deepseek-v4-flash/mimo-v2.5/qwen3.6-plus/nemotron-3-ultra/north-mini-code) 401 not-supported via opencode-go subset; remove like minimax-m3-free-go was	manual: remove via setup API + verify	open	
