# component-registry.tsv — canonical registry of load-bearing components/planes/subsystems/entrypoints.
# Consumed by fleet/checks/registry-discovery.sh (DISCOVER leg). Every row declares a component that
# the fleet treats as load-bearing: it MUST have a canary/detector OR an explicit exemption. The
# discovery gate FAILS CLOSED on any component in graphify's code graph that is absent from this file.
#
# CONFORMANCE: every row must be parseable (tab-separated, exactly 8 fields). A malformed row is RED.
# DRIFT: a row whose canary file does not exist, or whose test file does not exist, is STALE -> RED.
#
# Columns (tab-separated, exactly 8):
#   component_id  - unique identifier (kebab-case)
#   kind          - plane | subsystem | entrypoint | tool | gate | detector
#   path          - repo-relative path or ref (or "." if N/A)
#   canary        - path to the canary/detector script (relative to fleet/; or "." if exempted)
#   test          - path to the dogfood test script (relative to fleet/tests/; or "." if exempted)
#   status        - registered | exempted
#   owner         - owning ticket id (or "infra" for infrastructure components)
#   note          - free text / purpose
#
# ADDING A NEW COMPONENT: add a row here, wire a canary + test. If a canary cannot exist yet, set
# status=exempted with a note explaining why and a target ticket.
#
# NO SILENT DELETION: removing a row without migrating its canary+test to a replacement is drift.
# The discovery gate REDs. See docs/review-log/KS29-DISCOVERY-LEG.md.
component_id	kind	path	canary	test	status	owner	note
data-serving	plane	fleet/checks/	fleet/flow-canary.sh	tests/flow-canary.test.sh	registered	FLOW-CANARY	data/serving plane — stateless inference serving
failover	plane	fleet/checks/	fleet/failover-canary.sh	tests/failover-canary.test.sh	registered	FAILOVER-CANARY	failover plane — gateway provider failover orchestration
egress-key	plane	fleet/checks/	fleet/checks/egress-key-canary.sh	tests/egress-key-canary.test.sh	registered	EGRESS-KEY-CANARY	egress-key plane — network egress credential management
review	plane	fleet/checks/	fleet/checks/reconcile-review-gate.sh	tests/review-dispensation-canary.test.sh	registered	REVIEW-DISPENSATION-CANARY	review plane — ticket review lifecycle
lifecycle	plane	fleet/checks/	fleet/checks/gate-parity.sh	tests/ticket-lifecycle-canary.test.sh	registered	TICKET-LIFECYCLE-CANARY	lifecycle plane — ticket state machine
landing	plane	fleet/checks/	fleet/checks/substrate-first-gate.sh	tests/substrate-first-gate.test.sh	registered	LANDING-GATE-REGISTER	landing plane — PR merge gate
balance	plane	fleet/	fleet/balance-canary.sh	tests/balance-canary.test.sh	registered	BALANCE-CANARY	balance plane — provider balance tracking
config-ssot	plane	fleet/checks/	fleet/checks/config-ssot-gate.sh	tests/config-ssot-gate.test.sh	registered	CONFIG-SSOT-CANARY-REGISTER	config-ssot plane — single-source-of-truth for config
map-freshness	plane	fleet/checks/	fleet/checks/graphify-freshness.sh	tests/test_graphify_freshness.sh	registered	WIRE-GRAPHIFY-FRESHNESS	map-freshness plane — graphify code-map freshness
reconciliation	plane	fleet/checks/	fleet/checks/reconcile-gate-wired.sh	tests/reconcile-gate-wired.test.sh	registered	UNIFIED-RECONCILIATION-GATE	reconciliation plane — claim/board reconciliation
gate-creation-standard	tool	fleet/checks/	fleet/checks/gate-creation-standard.sh	tests/gate-creation-standard.test.sh	registered	GATE-CREATION-STANDARDIZE	meta-gate — gate creation standard enforcement
config-drift	tool	fleet/checks/	fleet/checks/config-ssot-gate.sh	tests/config-drift.test.sh	registered	CONFIG-SSOT-PROPAGATE	drift detection for config sources
registry-discovery	gate	fleet/checks/	fleet/checks/registry-discovery.sh	tests/registry-discovery.test.sh	registered	KS29-DISCOVERY-LEG	DISCOVER leg — component registry discovery gate
substrate-first	gate	fleet/checks/	fleet/checks/substrate-first-gate.sh	tests/substrate-first-gate.test.sh	registered	SUBSTRATE-FIRST-GATE	build-vs-adopt decision gate
