# RULE-SYNC-REGISTER.tsv — bidirectional rule-coverage audit
# slop=309 ksf=14 charon-reverse=16
# direction: into-charon = SLOP/KSF rule evaluated against Charon; out-of-charon = Charon mechanism SLOP/KSF lack
# charon_status: ported | gap | n-a
# action: none | port-to-charon | file-slop-ticket | file-ksf-ticket
source_framework	rule_id	rule_summary	charon_status	direction	mechanized	action	note
slop	SLOP-INV:1.1	Conventional Commits 1.0 OR #NNNN[ qualifier]?: subject; commit-msg hook rejects non-conforming	ported	into-charon	none	none	Charon uses CC 1.0 (MANAGER-OPERATING-RULES §8 cites fleet/land.sh).
slop	SLOP-INV:1.2	Rule 5.21: ms-changelog regenerates CHANGELOG.md from commits; commit-msg hook rejects malformed	gap	into-charon	none	port-to-charon	Add a Charon changelog emitter; currently informal release notes only.
slop	SLOP-INV:1.3	Never commit DB, backups, or .claude/ dev-meta; tracking.db is local/gitignored	ported	into-charon	check_no_dev_meta_in_tree	none	Charon .gitignore already excludes test-keys.env + .pyc; relax — already covered.
slop	SLOP-INV:1.4	Conventional Commits; agent/provider-agnostic; no personal/internal info in tracked files (PUBLIC repo)	ported	into-charon	pre_commit_hooks	none	MANAGER-OPERATING-RULES §6 'public-repo-no-personal-info' enforces this.
slop	SLOP-INV:1.5	All git operations as user stack, never root; repo owned stack:stack	n-a	into-charon	none	none	Charon is a build-rig, not a multi-user public repo; ownership not yet codified. Defer.
slop	SLOP-INV:1.6	All work committed before ending session; two-commit pattern for embedding SHA in content (never amend)	ported	into-charon	fleet/land-push.sh	none	MANAGER-OPERATING-RULES §8 'merge-gate-is-full-ci-not-pytest' + 'land.sh' enforce commit+push.
slop	SLOP-INV:1.7	Commit subject scope charset admits comma for multi-ref scope; uppercase still rejected	ported	into-charon	commit-msg hook	none	Charon CC 1.0 hook (if present) should mirror; not yet built but design-compatible.
slop	SLOP-INV:2.1	Session start: register on session-bridge, run bootstrap one-liner from SESSION-HANDOFF.md	ported	into-charon	session-bridge MCP	none	Charon has session-bridge MCP; AGENTS-bootstrap equivalent in fleet/START-SESSION.md.
slop	SLOP-INV:2.2	Coordinator delegates to sub-sessions for any task needing >1 file or >~150 lines or any code edit or repo-wide search	ported	into-charon	none	none	MANAGER-OPERATING-RULES §3 'manager-delegates-to-subsessions' + 'all-work-in-subsessions'.
slop	SLOP-INV:2.3	Sub-sessions write findings to files; reply only FILE: path + <=5 line summary; never paste code/logs back	ported	into-charon	none	none	MANAGER-OPERATING-RULES §3 'coordinator-token-economy-doctrine'.
slop	SLOP-INV:2.4	Batch and parallelize independent tasks; one commit/push per batch; never two sessions writing same file	ported	into-charon	wci-contention.sh	none	MANAGER-OPERATING-RULES §4 + §11 'big efforts must be decomposed into multiple parallel agents'.
slop	SLOP-INV:2.5	State lives on disk — tickets, reds file, report files — so any session stays stateless	ported	into-charon	none	none	Charon state already on disk: fleet/state/ROADMAP.tsv, BOARD-REDS-FIX-PACKET.md, etc.
slop	SLOP-INV:2.6	Ticketing workflow: list backlog via tracking/query.py, stop and ask operator which id, work ONLY that ticket	n-a	into-charon	none	none	Charon uses different ticket format (TSV + claim.sh); not directly portable but analog exists via fleet/claim.sh.
slop	SLOP-INV:2.7	Supervised mode: do NOT commit/push/PR/merge unless asked; show git diff and verification first	ported	into-charon	AUTONOMOUS lever	none	MANAGER-OPERATING-RULES §8 land-push.sh 'lever-gated' enforces ASK first when AUTONOMOUS=OFF.
slop	SLOP-INV:2.8	Session-bridge keep-alive: heartbeat every ~3 minutes via update; heartbeat BEFORE long operations	ported	into-charon	session-bridge MCP	none	Charon SESSION.md mandates heartbeat-before-dispatch; same protocol.
slop	SLOP-INV:2.9	Cross-repo improvement proposals: write to session bridge if other repo active, else to next handoff cross-repo section	ported	into-charon	session-bridge nudge	none	This ticket IS an instance of that mechanism.
slop	SLOP-INV:2.10	ONE orchestrator per batch (not per wave) — single Opus orchestrator handles all waves in the batch	gap	into-charon	none	port-to-charon	Charon fleet-droid.sh uses per-ticket droids; no batch-orchestrator role defined yet.
slop	SLOP-INV:2.11	Two-session Manager handoff: MUST emit BOTH Artifact A (Manager-handoff prompt) + Artifact B (launch prompt with back-reference token to A)	n-a	into-charon	none	none	Charon single-manager model (no Opus/Sonnet split) — Artifact A/B split is mediastack-specific.
slop	SLOP-INV:2.12	SESSION-HANDOFF.md is THE canonical handoff file; one file only; generate via bash handoff.sh, then update Human analysis	ported	into-charon	fleet/handoff.sh	none	Charon equivalent: fleet/handoff.sh + handoff-check.sh gate (MANAGER-OPERATING-RULES §2 'mechanized-handoff-gate').
slop	SLOP-INV:2.13	Handoff file maintenance: generate with handoff.sh, commit when instructed, next session reads only SESSION-HANDOFF.md	ported	into-charon	fleet/handoff.sh	none	Charon same; checkin.sh + handoff.sh are the canonical pair.
slop	SLOP-INV:2.14	Agent handoff conventions: new session does not trust prior summaries; verifies via git log and CI checks directly	ported	into-charon	none	none	MANAGER-OPERATING-RULES §3 'prefer reviewing the BRANCH DIFF directly over trusting self-reports'.
slop	SLOP-INV:2.15	Incoming sessions must NOT trust user-curated commit summaries; git is source of truth	ported	into-charon	none	none	Same as above; same source rule.
slop	SLOP-INV:2.16	Mandatory pre-flight: git log origin/main..HEAD, git diff --stat, git status, python3 ms-status before designing any change	ported	into-charon	fleet/preflight.sh	none	Charon preflight.sh is the exact analog.
slop	SLOP-INV:2.17	Mandatory end-of-step: python3 ms-status --handoff produces handoff prompt; tree must be clean before handoff	ported	into-charon	fleet/end-session.sh	none	Charon end-session.sh emits roadmap + handoff.
slop	SLOP-INV:2.18	Use /srv/tmp not /tmp for script drops and scratch files	n-a	into-charon	none	none	Charon uses /tmp/opencode and the build-rig scratch dirs; not a public-repo concern.
slop	SLOP-INV:2.19	Failure modes to avoid: silent partial work, self-curated summaries, amend-after-commit, untracked-file-as-dirty, set -o pipefail killing pytest	ported	into-charon	none	none	MANAGER-OPERATING-RULES §4 'touch each file ONCE' + 'optimize-execution-wallclock-tokens'.
slop	SLOP-INV:2.20	Doctrine 1: Agents pause-and-recommend on judgment findings; Manager reviews adversarially then decides	ported	into-charon	none	none	MANAGER-OPERATING-RULES §5 'adversarial-review-default-for-droid-prs'.
