# GATE-GAP-LEDGER — append-only ledger of GREEN-gate misses (doctrine: green-is-not-proof).
# One row per incident where every relevant gate was GREEN (or the class had NO gate at all)
# yet a real issue shipped. The point is the ROOT CLASS column: extract the CLASS behind the
# miss, not the instance — each class MUST map to an item in fleet/GATE-CREATION-STANDARD.md
# (traceability is machine-checked by fleet/checks/gate-creation-standard.sh).
#
# APPEND STEP (mandatory, EVERY time a green gate later fails to detect a real issue):
#   bash fleet/checks/gate-creation-standard.sh append \
#     "<gates that were green>" "<issue that shipped>" <root-class-slug> \
#     "<gate improvement that would have caught it>" "<status>"
# The helper validates the row (6 tab-separated fields, no tabs inside fields, root class
# traced in the standard) and appends. NEVER edit or delete existing rows (append-only;
# gate-creation-standard.sh REDs if the row count ever shrinks below its floor).
#
# Columns (tab-separated, exactly 6):
date	gates_green	issue_shipped	root_class	gate_improvement	status
2026-07-15	product full gate (12 checks) + diff-scoped adversarial review	DELETE-STATIC-RANK (PR #152) landed green, but the DEPLOY (purge cost_rank from 4-LOM /data/models.json) collapses unpriced models to the 1000 fallback -> silent route-to-pricier money leak; override removed; no priced-completeness preflight	deploy-context-blind	a DATA/DEPLOY preflight (priced-completeness) gating the deploy target, not just the code; every gate declares its context-of-validity (code vs deploy vs data)	open: ADR0016-DEPLOY-PRICED-COMPLETENESS boarded
2026-07-15	all gates (the class had NO detector, so nothing COULD go red)	planner and recommend.py each hard-failed on ONE provider/model (single-provider stiffness); fixed instance-by-instance, class undetected across call-sites	no-gate-exists	class-inventory rule: every incident mints a ledger row; a recurring class must get a gate (or an explicit written waiver) — this ledger mechanizes it	fixed instances (shared failover_loop, DESTIFF-RECOMMEND); class tracked here
2026-07-14	fleet gate green; review-log/commit message read as acceptance	FOREMAN-WIRE commit CLAIMED preflight wiring the diff did not contain — the self-report was accepted as evidence	self-report-lie	artifact-verified acceptance: verify the claim IN the diff (grep the diff for the claimed wiring) + a red-proof test exercising the wired path; never grade from the report	fixed: test_foreman_wire.sh lands the wiring + proof; doctrine [[document-model-self-report-lies]]
2026-07-14	product gate green (the detector was registered in NO gate, so no gate ran it)	tools/check_catalog_case_quant.py built and merged but wired into no gate (absent from gates.json/gate_runner) — catalog case/quant mismatches shipped undetected	built-but-inert	registry-wire meta-check: a new enforcer MUST be registered AND invoked from the wired production gate path, or RED	open: CATALOG-GATE-WIRE boarded
2026-07-13	inert-code gate (verdict varied run-to-run on the same tree)	check_inert_code.py flipped red/green between runs — ephemeral .claude/worktrees/agent-* copies swept into the AST scan; a green run proved nothing	non-deterministic-gate	determinism requirement: 3x identical runs on the same tree produce identical verdicts; hermetic input set (exclude ephemeral/local-cache dirs)	fixed: GATE-INTEGRITY-A (_EXCLUDE_DIRS monkeypatch)
2026-07-14	all gates (no drift detector; an unreachable source was silently treated as in-sync)	local ~/.charon vs 4-LOM /data/providers.json diverged silently (config-siloing); no SSOT, no drift gate; unreachable source = vacuous pass	multi-source-drift	SSOT manifest + drift gate that REDs on divergence AND on UNREACHABLE source (non-vacuous: absence of data is a failure, not a pass)	fixed: fleet/checks/config-ssot-gate.sh (+ fail-on-revert test)
2026-06-27	validate_board printed REVIEW findings yet exited 0	a board double-claim launched: the failure flag was set inside a `| while` subshell and never propagated — the gate exited GREEN on the exact defect it was built to catch	fail-quiet-pipe-mask	fail-loud requirement: set -uo pipefail, no verdict-flag inside a piped subshell, the exit code MUST carry the verdict; fail-on-revert test proving the RED path	fixed: validate_board.sh rewrite 2026-06-27
2026-07-14	land-path gate green	land.sh marked a ticket DONE while the PR was not actually merged (mergeability=UNKNOWN) — false-DONE risked cascade-unblocking dependents of unmerged work	effect-not-verified	verify-effect: assert the POST-STATE (PR actually merged) rather than that a command exited 0; self-heal re-check before done-marking	fixed: land.sh false-DONE fix + auto-done-mark self-heal
2026-07-21	rig CI board gate green while a code-writing ticket never answered the build-vs-adopt question	a security ticket framed as Option-A-vs-Option-B (both BUILD options) drew ~900 LOC of bespoke machinery — an HTTP choke point plus a hand-rolled AST linter an adversarial review later found blind to requests/http.client/bare-name urlopen — without the substrate question ever being asked; the EVAL-REGISTRY consult-first rule existed but fired only at SESSION level, so nothing checked it at DECISION time	no-decision-time-gate	fire the build-vs-adopt check at DECISION time (ticket create/change), DIFF-SCOPED so existing tickets are grandfathered: require a substrate: field on any code-writing ticket, reject in-tree names as substrate, and verify the named tool has an aligned EVAL-REGISTRY row with a resolvable receipt; parse frontmatter with adopted PyYAML, not hand-rolled sed/awk	FIXED — fleet/checks/substrate-first-gate.sh + substrate_first_gate.py; wired HARD into fleet/checks/rig-ci-scope.sh (per-changed-ticket check + PR-level pr-has-ticket) and run as CI suite fleet/tests/substrate-first-gate.test.sh; PyYAML pinned in fleet/checks/requirements.txt
2026-07-31	handoff-check green; every gate green	The manager session spent the whole first phase telling the operator to open droid tabs and to push, because MANAGER-OPERATING-RULES.md:54 and memory manager-never-spawns-droids still asserted the manager cannot do either. Both capabilities had SHIPPED: spawn-worker.sh gained verified GUI-tab spawning 2026-07-27 (bfb86d2/d391f46/977dc2e) and land-push.sh is the sanctioned push channel with state/AUTONOMOUS ON since 2026-07-15. The session had read spawn-worker.sh headers into context and still deferred to the stale rule. The memory carried a Tested 2026-07-15 (do NOT re-test) clause that actively suppressed re-checking.	doctrine-outlives-constraint	When a capability lands, the commit MUST update the doctrine line that forbade it — a rule stating a limitation is a claim about the code and goes stale like any other. Ban bare do-NOT-re-test clauses in memories: pin them to the commit/date they measured so a later capability invalidates them visibly. Rule of thumb: a doctrine line asserting we CANNOT do X must cite the file:line that makes it true, so the citation breaks when X ships.	PARTIAL — MANAGER-OPERATING-RULES.md:54 corrected + memory rewritten 2026-07-31; the general mechanism (gate that a limitation-rule cites live code) is NOT built — needs a ticket
