# RULE-REGISTRY.tsv — coverage-meta-gate registry (build-rig only). One row per enforceable
# rule in fleet/MANAGER-OPERATING-RULES.md. Consumed by fleet/checks/rule-coverage.sh, which
# VERIFIES each `mechanized` row points at a real WIRED artifact and FAILS on any un-exempted
# mechanizable `gap`. Ported classification model from mediastack/tools/enforcement_coverage.py.
#
# TAB-separated columns:
#   rule_id  section  one_line  classification  enforcing_ref  doc_anchor  notes
#     classification : mechanized | guidance | gap
#     enforcing_ref  : mechanized -> <path>[::<required-token>] (relative to fleet/)
#                      guidance   -> WHY it is judgment-only / unmechanizable
#                      gap        -> target gate/ticket to build
#     doc_anchor     : exact substring of the rule's line in MANAGER-OPERATING-RULES.md
#     notes          : free text; a `gap` may carry `exempt-until:YYYY-MM-DD <reason>` to hold
#                      it non-blocking (time-boxed, expiring visible debt).
#
# HONESTY: a rule with no real enforcing artifact is `gap` (or `guidance` if inherently
# judgment-only), NEVER `mechanized`. Do not point a `mechanized` row at an artifact that does
# not exist or is not wired — the gate treats that as fake-green and goes RED.
#
# rule_id	section	one_line	classification	enforcing_ref	doc_anchor	notes
s0-adopt-default	0-adopt-first	Adopting a suitable existing tool/library is the default path	mechanized	checks/substrate-first-gate.sh	Adopting a suitable existing tool/library is the default	substrate-first-gate forces every build-classed ticket to answer the build-vs-adopt question at creation
s0-handroll-last	0-adopt-first	Hand-rolling / new rig code is the LAST choice (negative weight)	guidance	the significant-negative-weight on the build side of an evaluation is a judgment, not a mechanical predicate	Hand-rolling / new rig code is the LAST choice
s0-handroll-adversarial	0-adopt-first	Any hand-roll proposal is met adversarially by default	guidance	an adversarial argument is a review stance; substrate-first-gate asks the question but the argument itself is judgment	met ADVERSARIALLY by default
s0-handroll-history	0-adopt-first	Lost-time history is on the front of every build-vs-adopt eval	guidance	mindset; the anti-pattern catalogue is a doc reference (EVAL-REGISTRY.md), not an enforceable predicate	The history of lost time/effort from hand-rolling
s0-stdlib-removed	0-adopt-first	The stdlib-only / dependencies=[] prohibition is REMOVED	guidance	states the REMOVAL of a prohibition — no enforceable predicate remains to gate	core rule is REMOVED
s0-refocus-product	0-adopt-first	Refocus on the shippable product, not the rig	guidance	product-vs-rig focus is a mindset, not a mechanical predicate	Refocus on the shippable product
s0-e2e-dogfood	0-adopt-first	e2e + dogfood are the NORM for all money-path code	guidance	enforced by the product-repo e2e/dogfood CI + the done-contract adversarial review, outside fleet/ scope	e2e + dogfood are the NORM for ALL key money-path code
s0-class-blast	0-adopt-first	Class-level / blast-radius response on every finding	guidance	behavioral trigger judgment on what counts as a finding / its class; not a mechanical gate	CLASS-LEVEL / BLAST-RADIUS ON EVERY FINDING
s1-phases	1-cadence	Work in phases; gather, present, then wait	guidance	pace/cadence judgment — cannot mechanize when a session pauses for operator input	Work in PHASES: gather ALL results
s1-pause	1-cadence	Stop and wait after any question/handed action	guidance	conversational discipline; no artifact observes the manager's turn-taking	After ANY question, input-need, or handed-off action: STOP and wait
s1-discuss	1-cadence	Discuss and wait when operator asks a question	guidance	dialogue judgment; not mechanizable	When the operator asks a QUESTION: discuss and WAIT
s1-adv-not-override	1-cadence	Re-confirm before overturning an operator decision	guidance	requires human judgment on what counts as overturning an operator decision	An adversarial review or DTC that overturns an OPERATOR decision
s1-simplest	1-cadence	Lead with the simplest path; confirm failure first	guidance	design judgment on simplest-path; not a mechanical predicate	Lead with the SIMPLEST path; confirm it actually fails
s2-color-tables	2-presentation	Present findings as color-coded tables	guidance	presentation-format judgment over free-form manager output	Present findings / questions / status as clear color-coded tables
s2-work-top-tier	2-presentation	Present work outcome-first with tickets nested	guidance	presentation-shape judgment; not mechanizable	Present WORK as the TOP tier
s2-remaining-unbuilt	2-presentation	Roadmap must include specced-but-unbuilt work	guidance	completeness of a narrative roadmap is a judgment call	MUST include specced-but-unbuilt
s2-exact-command	2-presentation	Give literal copy-pasteable commands to operator	guidance	quality of a hand-authored command line is judgment-only	give the literal copy-pasteable command
s2-droid-flags	2-presentation	Give droid launch commands with wait/retry flags	guidance	lints manager chat output, which no rig artifact observes	Droid launch commands are always given with flags
s2-handoff-oneliner	2-presentation	Handoff bootstrap is one sentence pointing at the file	guidance	one-sentence-vs-paragraph is a stylistic judgment	At every handoff, give a one-liner copy-pasteable prompt
s2-handoff-mechanized	2-presentation	Handoffs pass handoff-check.sh before session end	mechanized	handoff-check.sh	Handoffs are MECHANIZED, not memory.	preflight handoff_gate runs handoff-check.sh on the newest HANDOFF-*.md every scan
s2-tl	2-presentation	TL prints one line per active ticket	guidance	terse-status formatting judgment; report.sh covers the roadmap view	one plain-language line per ACTIVE ticket
s3-coordinator-role	3-delegation	Primary session gates/sequences/commits only	guidance	role-discipline behavior; no artifact enforces what primary does inline	Role = COORDINATOR, not worker
s3-all-subsessions	3-delegation	Launch all substantive work in sub-sessions	guidance	delegation judgment; a gate cannot see the manager choosing to work inline	Launch ALL substantive work
s3-write-to-file	3-delegation	Sub-sessions write to file, return a short pointer	guidance	sub-session output discipline; not mechanically observable from the rig	Sub-sessions WRITE findings to a file and return ONLY a short pointer
s3-hand-facts	3-delegation	Hand each sub-session the exact facts	guidance	brief-quality judgment; not mechanizable	Hand each sub-session the FACTS
s3-right-size-model	3-delegation	Right-size the model per work; never degrade quality	guidance	model-fit judgment per task; not a mechanical predicate	Right-size the model per work
