# price-tracked-inventory.tsv — KS29 shared price-tracked inventory table.
# Column union: FREE-TIER-LIMITS.tsv + §3c row. One table, two writers.
# Writer partition:
#   DISCOVERY writes: source, source_url, funding_class-provisional, community cost/limit, first_seen/last_seen, status (candidate)
#   CATALOG_REFRESH + METER writes: live/measured cost_in/out_usd_mtok, rpd, rpm, tpm, tpd, context_cap, trains_on_data, personal_only, exhaustion_signal
# No parallel store — both writers upsert through fleet/inventory-table.sh.
# status ∈ {candidate, reviewing, approved, rejected, configured, gone}
source	source_url	provider	base_url	model_ids	funding_class	cost_in_usd_mtok	cost_out_usd_mtok	rpd	rpm	tpm	tpd	context_cap	trains_on_data	personal_only	exhaustion_signal	first_seen	last_seen	status
discovery	https://synthetic.new	synthetic	https://api.synthetic.new	deepseek-v4-flash-free|nemotron-3-ultra-free|north-mini-code-free|qwen3.6-plus-free|mimo-v2.5-free	1	0	0	unpublished	unpublished	unpublished	weekly_ceiling	n/a	unpublished	unpublished	weekly_input_cap_exhausted	2026-07-23	2026-07-23	candidate
discovery	https://trae.ai	trae		none_no_model_api_exists	4	0	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2026-07-23	2026-07-23	candidate
discovery	https://huggingface.co	HF	https://api-inference.huggingface.co	meta-llama-3.1-8b|mistral-7b|zephyr-7b	1	0	0	30	3	5000	500000	8192	y	y	http_429	2026-07-23	2026-07-23	candidate
discovery	https://nousresearch.com	nous	https://api.nousresearch.com	hermes-3-70b|hermes-3-405b|hermes-pro-8b	1	0	0	unpublished	10	12000	unpublished	131072	y	y	http_429	2026-07-23	2026-07-23	candidate
discovery	https://x.ai	grok	https://api.x.ai	grok-beta|grok-2	2	5	15	1440	10	30000	500000	131072	n	n	http_429	2026-07-23	2026-07-23	candidate
discovery	https://mistral.ai	mistral	https://api.mistral.ai	free-mistral-code|mistral-tiny|mistral-small	1	0	0	2	500000	1000000000_per_month	unpublished	32768	y	y	http_429	2026-07-23	2026-07-23	candidate
discovery	https://zhipu.ai	zai	https://open.bigmodel.cn	glm-4.7-flash|glm-4.5-flash	1	0	0	unpublished	unpublished	unpublished	unpublished	131072	y	y	http_429_code_1302	2026-07-23	2026-07-23	candidate
discovery	https://cerebras.ai	cerebras	https://inference.cerebras.ai	gpt-oss-120b|zai-glm-4.7|gemma-4-31b	1	0	0	unpublished	5	30000	1000000	131000	n	y	http_429	2026-07-23	2026-07-23	candidate
discovery	https://deepinfra.com	deepinfra	https://api.deepinfra.com	deepseek-v4-pro|llama-4-scout|qwen3-235b	4	0.89	0.89	480	30	30000	10000000	131072	n	n	http_429	2026-07-23	2026-07-23	candidate
discovery	https://deepseek.com	deepseek	https://api.deepseek.com	deepseek-v4-pro|deepseek-v4-flash	4	2.00	8.00	1000	5	30000	1000000	131072	n	n	http_429	2026-07-23	2026-07-23	candidate
discovery	https://together.ai	together	https://api.together.xyz	deepseek-v4-pro|llama-4-maverick|mixtral-8x22b	4	0.30	0.30	100	10	60000	5000000	131072	n	n	http_429	2026-07-23	2026-07-23	candidate
discovery	https://groq.com	groq	https://api.groq.com	llama-3.1-8b-instant|llama-3.3-70b-versatile|llama-4-scout	1	0	0	14400	30	6000	500000	unpublished	n	y	http_429	2026-07-23	2026-07-23	candidate
discovery	https://morph.ai	morph	https://api.morph.ai	morph-pro|morph-instruct-70b	4	0.15	0.60	480	10	30000	1000000	32768	n	n	http_429	2026-07-23	2026-07-23	candidate
